id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline
385103,8.2,453,Scoob!,"[10751, 16, 35, 9648, 12]","In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",253.085,en,2020-05-15,"[25120, 174]",https://www.scoob.movie/,tt3152592,0,Mystery Loves Company.
338762,7.1,2314,Bloodshot,"[28, 878, 18]","After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",206.878,en,2020-03-05,"[34, 10246, 6573, 333, 103673, 124335, 5, 1225, 30148]",https://www.bloodshot.movie/,tt1634106,24573617,Being a superhero is in his blood
582596,6.2,197,The Wrong Missy,"[35, 10749]","A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.",130.525,en,2020-05-13,"[2608, 133986, 72725]",https://www.netflix.com/title/81033865,tt9619798,0,
454626,7.5,4001,Sonic the Hedgehog,"[28, 878, 35, 10751]","Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",130.19,en,2020-02-12,"[333, 10644, 77884, 4, 113750, 100711, 24955]",https://www.paramountmovies.com/movies/sonic-the-hedgehog,tt3794354,306766470,A Whole New Speed of Hero
545609,7.5,2004,Extraction,"[18, 28, 53]","Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord…",125.206,en,2020-04-24,"[106544, 109172, 92029]",https://www.netflix.com/title/80230399,tt8936646,0,"When the mission ends, redemption begins"
495764,7.2,3923,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"[28, 80, 35]","Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",120.921,en,2020-02-05,"[9993, 82968, 103462, 174, 429, 128064, 101831]",http://www.birdsofpreymovie.net/,tt7713068,201858461,Mind Over Mayhem
618344,8.6,404,Justice League Dark: Apokolips War,"[16, 28, 14, 878, 12]","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",113.342,en,2020-05-05,"[2785, 9993, 429]",https://gnula.li/pelicula/justice-league-dark-apokolips-war/,tt11079148,0,The war to end all wars.
508439,7.9,1826,Onward,"[16, 10751, 12, 35, 14]","In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",108.591,en,2020-02-29,"[2, 3]",,tt7146812,103181419,Their quest begineth.
570670,7.1,1878,The Invisible Man,"[53, 878, 27]","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",104.787,en,2020-02-26,"[3172, 33, 6748]",https://www.theinvisiblemanmovie.com/,tt1051906,123414678,What You Can't See Can Hurt You
481848,7.3,1098,The Call of the Wild,"[18, 12, 10751]","Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",98.491,en,2020-02-19,"[787, 127928, 22213]",https://family.foxmovies.com/movies/call-of-the-wild,tt7504726,107604626,Based on the legendary novel
